W,I
2455.533852464128,1.0
2455.9182350936517,9.7
2456.302560018208,10.1
2456.686827241915,6.5
2457.0710367688866,9.2
2457.4551886032355,8.6
2457.839282749071,10.1
2458.22331921052,9.6
2458.607297991689,9.3
2458.9912190966893,12.8
2459.37508252965,8.2
2459.7588882946757,13.1
2460.142636395888,13.1
2460.5263268374056,14.6
2460.909959623343,13.8
2461.2935347578236,6.9
2461.677052244967,5.6
2462.0605120888836,11.0
2462.443914293701,13.1
2462.827258863541,9.6
2463.210545802523,8.5
2463.593775114763,10.1
2463.976946804388,8.2
2464.360060875515,12.4
2464.7431173322757,7.8
2465.126116178787,14.5
2465.5090574191777,7.1
2465.891941057564,13.2
2466.2747670980784,10.6
2466.657535544843,11.1
2467.040246401982,16.6
2467.4228996736183,12.1
2467.805495363893,11.4
2468.188033476913,9.1
2468.5705140168225,10.7
2468.952936987745,13.9
2469.3353023938057,10.1
2469.717610239135,11.6
2470.099860527859,13.3
2470.4820532641183,16.8
2470.86418845203,5.1
2471.2462660957394,8.8
2471.628286199363,8.2
2472.0102487670406,13.4
2472.3921538029044,11.6
2472.7740013110874,10.7
2473.155791295721,15.3
2473.537523760938,16.3
2473.9191987108775,10.5
2474.300816149668,11.7
2474.68237608145,12.3
2475.063878510358,11.5
2475.4453234405223,5.1
2475.8267108760874,10.0
2476.2080408211864,9.6
2476.5893132799583,9.3
2476.9705282565405,12.3
2477.351685755071,13.3
2477.7327857796904,11.1
2478.1138283345363,2.7
2478.494813423749,11.0
2478.875741051467,10.6
2479.2566112218324,9.6
2479.637423938991,15.6
2480.0181792070825,15.4
2480.398877030244,17.9
2480.779517412624,9.6
2481.1601003583637,13.6
2481.540625871603,15.2
2481.9210939564896,15.8
2482.30150461717,14.7
2482.6818578577895,15.2
2483.0621536824865,12.8
2483.4423920954123,12.8
2483.822573100716,17.4
2484.202696702541,5.3
2484.5827629050327,14.0
2484.962771712345,15.8
2485.342723128618,13.3
2485.7226171580146,14.7
2486.1024538046663,3.9
2486.4822330727325,10.3
2486.861954966366,10.6
2487.2416194897146,14.9
2487.6212266469224,16.4
2488.0007764421503,10.0
2488.3802688795467,12.5
2488.7597039632665,13.6
2489.1390816974613,13.0
2489.5184020862803,8.7
2489.897665133888,14.7
2490.276870844429,13.6
2490.6560192220622,9.5
2491.03511027094,10.1
2491.414143995223,10.1
2491.7931203990624,10.3
2492.1720394866193,7.1
2492.550901262048,12.5
2492.929705729511,16.1
2493.3084528931563,9.9
2493.6871427571564,13.8
2494.065775325658,10.2
2494.4443506028265,4.0
2494.822868592823,13.9
2495.2013292998063,9.0
2495.579732727936,14.7
2495.958078881373,11.4
2496.33636776428,15.0
2496.7145993808213,11.8
2497.0927737351594,11.3
2497.470890831456,14.1
2497.8489506738724,16.2
2498.2269532665846,9.5
2498.6048986137407,13.9
2498.9827867195154,14.1
2499.3606175880714,8.9
2499.7383912235787,13.8
2500.116107630201,14.5
2500.493766812099,16.7
2500.8713687734535,13.9
2501.2489135184196,17.6
2501.626401051175,10.8
2502.003831375882,17.8
2502.3812044967135,21.2
2502.758520417836,18.0
2503.135779143425,16.7
2503.512980677645,17.3
2503.890125024673,14.9
2504.267212188674,3.1
2504.6442421738293,13.6
2505.0212149843014,11.0
2505.39813062427,16.7
2505.774989097903,10.2
2506.1517904093794,11.8
2506.5285345628704,15.7
2506.905221562551,8.7
2507.2818514126016,13.8
2507.6584241171854,13.7
2508.0349396804936,15.9
2508.411398106695,11.5
2508.7877993999646,16.1
2509.1641435644856,14.0
2509.540430604433,9.4
2509.9166605239843,8.4
2510.2928333273167,5.4
2510.668949018617,11.3
2511.045007602061,10.7
2511.421009081826,14.4
2511.7969534620966,13.5
2512.1728407470473,16.3
2512.548670940871,6.4
2512.9244440477423,11.0
2513.3001600718444,14.1
2513.6758190173637,14.4
2514.0514208884733,11.7
2514.4269656893725,10.1
2514.802453424236,13.3
2515.17788409725,12.7
2515.553257712603,8.8
2515.9285742744732,17.7
2516.303833787056,15.3
2516.6790362545303,18.5
2517.054181681089,18.7
2517.4292700709184,15.0
2517.8043014282052,20.2
2518.179275757134,10.9
2518.5541930619006,9.3
2518.929053346691,13.9
2519.303856615698,16.0
2519.6786028731067,11.2
2520.0532921231106,11.2
2520.427924369902,22.0
2520.8024996176746,12.0
2521.17701787061,18.2
2521.551479132912,12.4
2521.9258834087736,12.8
2522.3002307023753,18.4
2522.674521017929,13.6
2523.048754359612,15.2
2523.422930731632,13.5
2523.797050138178,15.3
