,Scheduled Time,Actual Time
0,900.0,3.268768548965454
1,1046.2311557788944,3.4062118530273438
2,1192.462311557789,3.296005964279175
3,1338.6934673366834,3.211193561553955
4,1484.924623115578,3.168910264968872
5,1631.1557788944724,3.17126202583313
6,1777.3869346733668,3.1900665760040283
7,1923.6180904522612,3.2310564517974854
8,2069.849246231156,3.2896978855133057
9,2216.0804020100504,3.3578412532806396
10,2362.311557788945,3.437161684036255
11,2508.542713567839,3.5267333984375
12,2654.7738693467336,3.615917682647705
13,2801.005025125628,3.7138612270355225
14,2947.2361809045224,3.8203365802764893
15,3093.467336683417,3.923490047454834
16,3239.6984924623116,4.037981271743774
17,3385.929648241206,4.1498963832855225
18,3532.1608040201004,4.26895546913147
19,3678.3919597989952,4.388532400131226
20,3824.6231155778896,4.509533405303955
21,3970.854271356784,4.6332361698150635
22,4117.085427135678,4.763555288314819
23,4263.316582914573,4.886699676513672
24,4409.547738693467,5.01423978805542
25,4555.778894472362,5.143035173416138
26,4702.010050251256,5.273980140686035
27,4848.24120603015,5.404040813446045
28,4994.472361809045,5.541406154632568
29,5140.70351758794,5.67128586769104
30,5286.934673366834,5.806484222412109
31,5433.165829145729,5.941688060760498
32,5579.396984924623,6.072892665863037
33,5725.628140703518,6.213198184967041
34,5871.859296482412,6.347965478897095
35,6018.090452261306,6.488820314407349
36,6164.321608040201,6.624279975891113
37,6310.552763819095,6.762888193130493
38,6456.7839195979905,6.899838209152222
39,6603.015075376885,7.035681962966919
40,6749.246231155779,7.180453062057495
41,6895.477386934674,7.315956115722656
42,7041.708542713568,7.45636248588562
43,7187.939698492462,7.595869064331055
44,7334.170854271357,7.735012531280518
45,7480.402010050251,7.87494158744812
46,7626.633165829146,8.018399953842163
47,7772.86432160804,8.157408237457275
48,7919.095477386934,8.301764965057373
49,8065.32663316583,8.444273471832275
50,8211.557788944723,8.585738182067871
51,8357.78894472362,8.724318265914917
52,8504.020100502512,8.868396759033203
53,8650.251256281408,9.0104238986969
54,8796.4824120603,9.15072250366211
55,8942.713567839197,9.29399037361145
56,9088.94472361809,9.436152219772339
57,9235.175879396986,9.579252481460571
58,9381.40703517588,9.724168300628662
59,9527.638190954774,9.86367392539978
60,9673.869346733669,10.009835004806519
61,9820.100502512563,10.14998173713684
62,9966.331658291458,10.293680191040039
63,10112.562814070352,10.434957265853882
64,10258.793969849246,10.579843521118164
65,10405.02512562814,10.721672058105469
66,10551.256281407035,10.86741304397583
67,10697.48743718593,11.012381792068481
68,10843.718592964824,11.15562891960144
69,10989.949748743718,11.300410270690918
70,11136.180904522613,11.4402015209198
71,11282.412060301507,11.586897611618042
72,11428.643216080402,11.732123851776123
73,11574.874371859296,11.875511169433594
74,11721.10552763819,12.017038345336914
75,11867.336683417087,12.163248777389526
76,12013.567839195981,12.309082984924316
77,12159.798994974875,12.453751564025879
78,12306.03015075377,12.596716403961182
79,12452.261306532664,12.74372911453247
80,12598.492462311558,12.889164447784424
81,12744.723618090453,13.031518459320068
82,12890.954773869347,13.174460649490356
83,13037.185929648242,13.321099996566772
84,13183.417085427136,13.467404842376709
85,13329.64824120603,13.609806299209595
86,13475.879396984925,13.75710391998291
87,13622.11055276382,13.903919219970703
88,13768.341708542714,14.045533657073975
89,13914.572864321608,14.19365382194519
90,14060.804020100502,14.33643627166748
91,14207.035175879397,14.484371423721313
92,14353.266331658291,14.626435279846191
93,14499.497487437186,14.770851850509644
94,14645.72864321608,14.917934894561768
95,14791.959798994974,15.061978101730347
96,14938.190954773869,15.207627773284912
97,15084.422110552765,15.353111028671265
98,15230.65326633166,15.499361753463745
99,15376.884422110554,15.64637017250061
100,15523.115577889448,15.796502828598022
101,15669.346733668342,15.937614440917969
102,15815.577889447237,16.08051609992981
103,15961.809045226131,16.22682476043701
104,16108.040201005026,16.37081265449524
105,16254.27135678392,16.516218423843384
106,16400.502512562816,16.66551423072815
107,16546.73366834171,16.808587074279785
108,16692.9648241206,16.956706285476685
109,16839.195979899498,17.09972071647644
110,16985.427135678394,17.246073246002197
111,17131.658291457286,17.391947269439697
112,17277.88944723618,17.538869857788086
113,17424.120603015075,17.683670043945312
114,17570.35175879397,17.83168387413025
115,17716.582914572864,17.973405599594116
116,17862.81407035176,18.123441696166992
117,18009.045226130653,18.266387701034546
118,18155.27638190955,18.410887002944946
119,18301.50753768844,18.559288501739502
120,18447.738693467338,18.705133199691772
121,18593.96984924623,18.85247302055359
122,18740.201005025127,18.99653720855713
123,18886.43216080402,19.142207384109497
124,19032.663316582915,19.28981375694275
125,19178.894472361808,19.435216665267944
126,19325.125628140704,19.582443952560425
127,19471.356783919597,19.72694706916809
128,19617.587939698493,19.872400283813477
129,19763.81909547739,20.01613450050354
130,19910.05025125628,20.164265871047974
131,20056.281407035178,20.311944007873535
132,20202.51256281407,20.46354389190674
133,20348.743718592967,20.60572123527527
134,20494.97487437186,20.75019383430481
135,20641.206030150755,20.900816917419434
136,20787.437185929648,21.045820951461792
137,20933.668341708544,21.193130016326904
138,21079.899497487437,21.338205337524414
139,21226.130653266333,21.48254632949829
140,21372.361809045226,21.628806591033936
141,21518.59296482412,21.77789306640625
142,21664.824120603014,21.922252893447876
143,21811.05527638191,22.067699193954468
144,21957.286432160803,22.2153217792511
145,22103.5175879397,22.3603618144989
146,22249.748743718592,22.50684428215027
147,22395.979899497488,22.65297293663025
148,22542.21105527638,22.800721406936646
149,22688.442211055277,22.946699142456055
150,22834.673366834173,23.094023942947388
151,22980.904522613066,23.23876643180847
152,23127.135678391962,23.384795427322388
