W,I
1184.7375146919894,-20.6
1185.2324621744372,-20.6
1185.7273373386745,-17.4
1186.2221401907382,-21.2
1186.7168707366454,-22.0
1187.211528982427,-18.8
1187.7061149341214,-16.8
1188.2006285977398,-14.8
1188.6950699793254,-20.0
1189.1894390849063,-10.4
1189.6837359205042,-17.2
1190.177960492156,-18.0
1190.6721128058898,-9.8
1191.1661928677404,-14.4
1191.6602006837272,-18.2
1192.1541362598914,-20.0
1192.6479996022674,-15.8
1193.1417907168795,-14.6
1193.6355096097577,-21.4
1194.1291562869412,-19.4
1194.6227307544602,-18.4
1195.1162330183495,-18.4
1195.6096630846391,-18.8
1196.1030209593728,-18.8
1196.5963066485674,-17.4
1197.0895201582669,-15.8
1197.582661494514,-23.4
1198.0757306633286,-17.4
1198.568727670752,-16.8
1199.0616525228204,-17.4
1199.5545052255713,-14.4
1200.0472857850411,-19.6
1200.5399942072647,-19.6
1201.0326304982723,-23.2
1201.5251946641117,-15.4
1202.0176867108155,-19.4
1202.5101066444245,-18.2
1203.0024544709715,-17.0
1203.4947301964955,-20.8
1203.9869338270398,-18.2
1204.4790653686389,-25.2
1204.9711248273363,-19.4
1205.463112209169,-16.4
1205.9550275201757,-18.6
1206.4468707663978,-17.2
1206.9386419538762,-17.4
1207.4303410886503,-19.8
1207.921968176763,-12.8
1208.4135232242559,-20.6
1208.9050062371698,-24.0
1209.396417221544,-11.8
1209.887756183428,-16.2
1210.379023128855,-21.8
1210.870218063876,-18.4
1211.3613409945267,-17.6
1211.8523919268584,-19.8
1212.3433708669147,-20.6
1212.8342778207325,-15.6
1213.3251127943636,-17.0
1213.815875793843,-22.0
1214.3065668252266,-18.8
1214.7971858945536,-13.6
1215.2877330078743,-19.8
1215.7782081712314,-15.2
1216.2686113906664,-14.4
1216.7589426722377,-14.2
1217.24920202198,-14.8
1217.7393894459476,-15.0
1218.2295049501859,-15.2
1218.7195485407447,-14.4
1219.209520223665,-14.2
1219.699420005008,-18.4
1220.1892478908082,-15.2
1220.6790038871238,-17.8
1221.168688000005,-11.8
1221.6583002354905,-21.6
1222.1478405996456,-16.8
1222.637309098507,-13.8
1223.1267057381312,-13.8
1223.6160305245637,-16.0
1224.1052834638692,-21.4
1224.5944645620848,-21.6
1225.083573825269,-22.0
1225.5726112594696,-16.4
1226.0615768707426,-15.8
1226.5504706651382,-23.4
1227.0392926487104,-12.4
1227.5280428275134,-14.6
1228.0167212076037,-13.2
1228.5053277950246,-17.0
1228.9938625958343,-17.8
1229.4823256160985,-18.6
1229.9707168618554,-21.8
1230.4590363391683,-17.8
1230.9472840540936,-22.4
1231.435460012679,-20.8
1231.9235642209912,-23.8
1232.4115966850786,-20.4
1232.8995574109993,-19.0
1233.3874464048117,-18.6
1233.875263672577,-18.2
1234.363009220338,-20.2
1234.8506830541623,-20.4
1235.3382851801125,-21.2
1235.8258156042407,-23.0
1236.3132743326012,-16.8
1236.800661371261,-21.4
1237.287976726272,-15.8
1237.7752204037017,-21.8
1238.2623924096044,-16.2
1238.7494927500404,-12.2
1239.2365214310705,-21.2
1239.7234784587577,-14.4
1240.2103638391584,-19.6
1240.697177578333,-19.6
1241.183919682349,-22.4
1241.6705901572623,-14.0
1242.1571890091384,-21.8
1242.643716244038,-13.8
1243.1301718680236,-14.6
1243.6165558871583,-17.0
1244.1028683075092,-18.8
1244.5891091351327,-15.8
1245.0752783761004,-9.6
1245.5613760364663,-14.8
1246.0474021223042,-22.8
1246.5333566396728,-10.2
1247.0192395946412,-18.2
1247.5050509932703,-19.2
1247.9907908416315,-13.2
1248.4764591457854,-18.4
1248.962055911797,-17.8
1249.447581145736,-19.0
1249.9330348536716,-14.0
1250.4184170416643,-19.2
1250.9037277157881,-15.2
1251.3889668821057,-18.0
1251.874134546682,-15.2
1252.3592307155932,-11.8
1252.8442553949017,-22.8
1253.3292085906796,-12.2
1253.814090308998,-18.6
1254.2989005559177,-18.4
1254.7836393375146,-15.2
1255.2683066598581,-25.4
1255.752902529013,-18.0
1256.2374269510622,-19.2
1256.7218799320635,-17.4
1257.2062614780955,-15.4
1257.690571595223,-17.0
1258.174810289522,-21.6
1258.6589775670639,-18.2
1259.1430734339203,-22.2
1259.627097896167,-17.6
1260.1110509598668,-19.0
1260.5949326311045,-22.4
1261.0787429159493,-18.2
1261.5624818204685,-12.8
1262.0461493507441,-25.4
